"","Plot_ID","cover_mean","tree_mean","understory_percent_mean","midstory_percent_mean","overstory_percent_mean","BA_mean","max_canopy_height_mean","pine_percent","num_snags"
"1",1,0.612082348518768,4.28571428571429,0.341070919874877,0.171449314308172,0.487479765816951,8.91858219213736,25.8156428571429,75.945945945946,9
"2",2,0.654021175173615,6.05555555555556,0.461624570109587,0.0765242403274716,0.461851189562941,12.5644804593599,25.5464444444444,100,31
"3",3,0.51796137562594,3.89473684210526,0.53578481645931,0.0661411360440698,0.398074047496621,11.0524196841376,27.1656315789474,88.2352941176471,24
"4",4,0.598609753887062,2.55555555555556,0.425183648647461,0.14488070483887,0.429935646513669,8.60938089108987,23.5167777777778,82.2033898305085,0
"5",5,0.701065764240126,5.45,0.462251195168371,0.0986804770896798,0.439068327741949,13.3264894228653,27.42495,96.039603960396,29
"6",6,0.638559245279908,5.5,0.51596793750783,0.0988939921764456,0.385138070315725,13.309987587454,25.71575,95.3223767383059,34
"7",7,0.510959484872465,5.42857142857143,0.560198721450853,0.0689392229165365,0.370862055632611,11.2611788432525,24.6748095238095,100,41
"8",8,0.55006406733898,3.85,0.613858425491919,0.141543736174533,0.244597838333548,5.58277594245095,20.60355,66.044142614601,27
"9",9,0.586188430325878,2.61904761904762,0.649635354382826,0.0818430901173173,0.268521555499857,10.7741826431028,28.0002380952381,67.965367965368,25
"10",10,0.565792371733312,3.57142857142857,0.651130647493633,0.0450912382627612,0.303778114243606,13.4387646468493,26.9591904761905,98.9583333333333,22
"11",11,0.627109445376643,3.52380952380952,0.651878260181288,0.0723385770183605,0.275783162800352,14.2682095007712,26.3919523809524,87.9828326180258,37
"12",12,0.592821650213178,4.57142857142857,0.605078054924038,0.0631781670090563,0.331743778066906,16.9885514826816,28.719380952381,97.2789115646258,28
"13",13,0.486368946359074,2.89473684210526,0.514444897782618,0.100712379628065,0.384842722589318,11.6342665599903,24.3327368421053,99.0026595744681,34
"14",14,0.517637256570965,2.84210526315789,0.69238255974901,0.0731522324547294,0.234465207796261,12.1019795871182,27.9938421052632,86.0294117647059,26
"15",15,0.289166112210206,1.14285714285714,0.739919446907251,0.102322355100061,0.157758197992688,3.81023760447785,13.2341428571429,94.2857142857143,12
"16",16,0.363498044777985,0.9,0.677591391360972,0.170013021507688,0.152395587131341,2.31775614564378,11.5435,49.2537313432836,30
"17",17,0.307200819754457,1.33333333333333,0.772911006904364,0.0765232827425328,0.150565710353103,12.5712587068663,12.4082380952381,96.2962962962963,0
"18",18,0.357431920841504,1.47368421052632,0.706637197131804,0.0599019504882162,0.23346085237998,5.27674657157828,21.5888947368421,93.6708860759494,10
"19",19,0.301061828356738,0.952380952380952,0.76514400383293,0.0974450037538013,0.137410992413269,4.32649696580497,15.1337619047619,93.6507936507936,2
"20",20,0.269189334483772,1.19047619047619,0.745677345627755,0.0791049709128911,0.175217683459354,3.22650099413233,13.670619047619,86.5384615384615,3
"21",21,0.330952454559952,0.904761904761905,0.803589995825279,0.0987551651935729,0.0976548389811482,3.36057702470034,13.485619047619,38.75,20
"22",22,0.409485882100692,1.6,0.477584252494734,0.161226870211376,0.36118887729389,4.93646865976076,18.6397,75.5102040816327,15
"23",23,0.313642573712121,2.05,0.749864926024272,0.0565793589189017,0.193555715056827,5.01339037381973,18.3208,77.5280898876404,14
"24",24,0.655970223856952,2.8,0.498097686821688,0.153355188003738,0.348547125174574,7.53972470034131,20.34905,60.2836879432624,22
"25",25,0.426994095212287,1.61904761904762,0.792468037811565,0.0662866208675391,0.141245341320895,7.66995356040943,24.518380952381,68.5714285714286,32
"26",26,0.427403545722376,1.47619047619048,0.708286980123294,0.0879723467412639,0.203740673135442,6.74171694556536,20.5731428571429,93.5897435897436,30
"27",27,0.399805576070982,1.61904761904762,0.733709333342329,0.100116204664717,0.166174461992954,3.98755511822744,16.9601904761905,96.969696969697,13
"28",28,0.469898635800559,1.26666666666667,0.705837586294062,0.129811785066064,0.164350628639874,5.65660665617026,17.9090666666667,91.970802919708,36
"29",29,0.517176715100325,1.80952380952381,0.675016801530479,0.169687910708314,0.155295287761207,5.53092890618963,15.0009523809524,87.8378378378378,27
"30",30,0.432395720905398,0.95,0.626813792435862,0.138629472839185,0.234556734724953,5.15931070261628,17.03875,94.1935483870968,36
"31",31,0.233179165874197,0.736842105263158,0.857170300606371,0.0426539320638648,0.100175767329764,3.15181451493923,10.2458947368421,98.1818181818182,54
"32",32,0.344185636810704,1.75,0.760476032713046,0.0538813962615298,0.185642571025425,8.25409545837605,19.56385,82.089552238806,21
